	Linear	regression	Scaling						
Year	F3	F5	F3	F5					
1064	18.997	18.994	19.019	19.007		0.658479266	0.6497736453	0.6583824148	0.6494223527
1065	18.978	18.975	18.994	18.984		0.6172100932	0.6090317333	0.616751477	0.6080040223
1066	18.946	18.952	18.952	18.957		0.5477041181	0.5597125766	0.5468115013	0.559382504
1067	18.924	18.94	18.923	18.942		0.4999187602	0.5339808427	0.4985196134	0.5323705494
1068	18.937	18.952	18.941	18.957		0.5281555626	0.5597125766	0.5284938887	0.559382504
1069	18.981	18.987	18.998	18.998		0.6237262784	0.6347634672	0.623412427	0.6332151799
1070	19.032	19.033	19.064	19.054		0.7345014262	0.7334017805	0.733318103	0.7340598104
1071	19.078	19.08	19.124	19.11		0.8344162655	0.8341844049	0.8332323539	0.8349044409
1072	19.119	19.122	19.178	19.159		0.9234707961	0.9242454736	0.9231551796	0.9231434926
1073	19.155	19.157	19.225	19.201		1.0016650181	0.9992963641	1.0014213428	0.9987769655
1074	19.181	19.184	19.259	19.233		1.0581386229	1.0571927654	1.0580394183	1.0564024686
1075	19.198	19.205	19.281	19.259		1.0950636722	1.1022232997	1.0946746437	1.1032231899
1076	19.216	19.23	19.305	19.289		1.1341607832	1.1558310787	1.134640344	1.1572470991
1077	19.252	19.267	19.352	19.332		1.2123550052	1.2351705915	1.2129065072	1.234681369
1078	19.306	19.313	19.422	19.387		1.3296463382	1.3338089048	1.3294731332	1.3337252025
1079	19.355	19.35	19.487	19.431		1.4360773626	1.4131484177	1.4377135717	1.4129602693
1080	19.369	19.363	19.505	19.447		1.4664862268	1.4410244627	1.4676878469	1.4417730209
1081	19.344	19.347	19.471	19.427		1.4121846837	1.4067154842	1.4110697714	1.4057570814
1082	19.303	19.312	19.419	19.385		1.3231301531	1.3316645937	1.3244774207	1.3301236086
1083	19.262	19.27	19.365	19.335		1.2340756224	1.241603525	1.2345545949	1.2400837599
1084	19.22	19.225	19.31	19.282		1.1428490301	1.1451095229	1.1429665316	1.1446415203
1085	19.173	19.171	19.248	19.217		1.0407621291	1.0293167203	1.0397218057	1.027589717
1086	19.106	19.101	19.161	19.134		0.8952339937	0.8792149392	0.8948461419	0.8781235683
1087	19.014	19.014	19.042	19.031		0.6954043152	0.6926598685	0.6966828777	0.69264148
1088	18.916	18.923	18.913	18.922		0.4825422664	0.497527553	0.4818672383	0.4963546099
1089	18.83	18.837	18.801	18.82		0.2957449583	0.3131167934	0.2953606366	0.3126733186
1090	18.761	18.762	18.711	18.731		0.1458726994	0.1522934565	0.1454892603	0.152402388
1091	18.697	18.691	18.628	18.646		0.0068607492	4.73643026897775E-005	0.0072745466	-0.0006653547
1092	18.625	18.616	18.534	18.558		-0.1495276949	-0.1607759726	-0.1492577798	-0.1591354884
1093	18.542	18.538	18.425	18.465		-0.3298088178	-0.3280322429	-0.3307686689	-0.3266096069
1094	18.463	18.485	18.323	18.401		-0.5014016939	-0.4416807343	-0.5006228953	-0.4418606132
1095	18.452	18.486	18.308	18.402		-0.5252943729	-0.4395364232	-0.5256014581	-0.4400598162
1096	18.542	18.554	18.426	18.484		-0.3298088178	-0.2937232644	-0.3291034313	-0.2923944644
1097	18.672	18.648	18.595	18.595		-0.0474407939	-0.0921580155	-0.0476782914	-0.0925060003
1098	18.755	18.723	18.703	18.685		0.1328403291	0.0686653214	0.1321673602	0.0695657273
1099	18.763	18.746	18.714	18.712		0.1502168229	0.117984478	0.1504849729	0.1181872455
1100	18.737	18.738	18.68	18.702		0.0937432181	0.1008299887	0.0938668974	0.1001792758
1101	18.718	18.719	18.655	18.68		0.0524740454	0.0600880767	0.0522359595	0.0605617424
1102	18.708	18.707	18.642	18.666		0.0307534281	0.0343563428	0.0305878718	0.0353505848
1103	18.702	18.693	18.634	18.648		0.0177210578	0.0043359866	0.0172659717	0.0029362392
1104	18.681	18.667	18.607	18.618		-0.0278922384	-0.0514161035	-0.0276954412	-0.05108767
1105	18.633	18.623	18.545	18.566		-0.1321512011	-0.1457657945	-0.1309401671	-0.1447291126
1106	18.572	18.584	18.464	18.519		-0.2646469661	-0.2293939296	-0.2658244058	-0.2293665703
1107	18.548	18.572	18.433	18.504		-0.3167764475	-0.2551256635	-0.3174467687	-0.2563785249
1108	18.598	18.61	18.498	18.55		-0.2081733614	-0.1736418395	-0.2092063303	-0.1735418641
