	Linear	regression	Scaling						
Year	F3	F5	F3	F5					
1288	19.013	19.041	19.04	19.063		0.6932322535	0.7505562697	0.6933524026	0.7502669832
1289	19.013	19.042	19.04	19.065		0.6932322535	0.7527005809	0.6933524026	0.7538685771
1290	19.076	19.087	19.122	19.118		0.830072142	0.849194583	0.8299018788	0.8493108167
1291	19.153	19.144	19.223	19.186		0.9973208947	0.971420319	0.9980908678	0.9717650109
1292	19.196	19.185	19.279	19.234		1.0907195488	1.0593370765	1.0913441686	1.0582032656
1293	19.194	19.194	19.277	19.245		1.0863754253	1.078635877	1.0880136936	1.0780120323
1294	19.176	19.185	19.253	19.235		1.0472783143	1.0593370765	1.0480479932	1.0600040626
1295	19.165	19.175	19.238	19.222		1.0233856354	1.037893965	1.0230694305	1.0365937019
1296	19.163	19.171	19.236	19.219		1.0190415119	1.0293167203	1.0197389555	1.031191311
1297	19.167	19.174	19.24	19.221		1.0277297588	1.0357496538	1.0263999056	1.0347929049
1298	19.173	19.181	19.248	19.229		1.0407621291	1.0507598319	1.0397218057	1.0491992807
1299	19.183	19.19	19.262	19.241		1.0624827464	1.0700586323	1.0630351309	1.0708088444
1300	19.195	19.202	19.278	19.255		1.088547487	1.0957903662	1.0896789311	1.096020002
1301	19.208	19.215	19.295	19.271		1.1167842894	1.1236664113	1.1179879689	1.1248327536
1302	19.222	19.229	19.312	19.287		1.1471931535	1.1536867675	1.1462970066	1.1536455052
1303	19.236	19.243	19.33	19.303		1.1776020177	1.1837071237	1.1762712819	1.1824582567
1304	19.248	19.255	19.347	19.318		1.2036667583	1.2094388576	1.2045803196	1.2094702113
1305	19.258	19.265	19.359	19.33		1.2253873756	1.2308819692	1.2245631698	1.231079775
1306	19.266	19.275	19.37	19.342		1.2427638693	1.2523250808	1.2428807825	1.2526893387
1307	19.276	19.287	19.383	19.356		1.2644844866	1.2780568147	1.2645288701	1.2779004963
1308	19.293	19.304	19.406	19.377		1.3014095358	1.3145101044	1.302829333	1.3157172328
1309	19.316	19.321	19.435	19.397		1.3513669555	1.3509633941	1.3511212209	1.3517331722
1310	19.331	19.331	19.454	19.408		1.3839478813	1.3724065057	1.3827607337	1.3715419389
1311	19.323	19.323	19.444	19.4		1.3665713875	1.3552520164	1.3661083585	1.3571355632
1312	19.295	19.305	19.407	19.378		1.3057536593	1.3166544155	1.3044945705	1.3175180297
1313	19.27	19.291	19.376	19.361		1.2514521162	1.2866340593	1.2528722075	1.2869044812
1314	19.276	19.297	19.383	19.368		1.2644844866	1.2994999263	1.2645288701	1.29951006
1315	19.311	19.324	19.429	19.4		1.3405066468	1.3573963276	1.3411297958	1.3571355632
1316	19.355	19.36	19.486	19.443		1.4360773626	1.4345915293	1.4360483341	1.434569833
1317	19.387	19.392	19.528	19.482		1.5055833378	1.5032094863	1.5059883098	1.504800915
1318	19.407	19.415	19.554	19.508		1.5490245722	1.552528643	1.5492844851	1.5516216363
1319	19.42	19.426	19.571	19.522		1.5772613746	1.5761160657	1.5775935229	1.5768327939
1320	19.421	19.426	19.573	19.521		1.5794334363	1.5761160657	1.5809239979	1.5750319969
1321	19.407	19.414	19.554	19.507		1.5490245722	1.5503843318	1.5492844851	1.5498208393
1322	19.385	19.392	19.525	19.481		1.5012392143	1.5032094863	1.5009925972	1.503000118
1323	19.355	19.36	19.486	19.443		1.4360773626	1.4345915293	1.4360483341	1.434569833
1324	19.313	19.32	19.432	19.395		1.3448507703	1.3488190829	1.3461255084	1.3481315783
1325	19.266	19.285	19.37	19.354		1.2427638693	1.2737681924	1.2428807825	1.2742989024
1326	19.243	19.27	19.34	19.335		1.1928064497	1.241603525	1.192923657	1.2400837599
1327	19.268	19.288	19.373	19.357		1.2471079928	1.2802011259	1.247876495	1.2797012933
1328	19.319	19.326	19.439	19.402		1.3578831406	1.3616849499	1.357782171	1.3607371571
1329	19.365	19.371	19.499	19.456		1.4577979799	1.458178952	1.4576964218	1.4579801937
1330	19.402	19.41	19.547	19.503		1.5381642636	1.5418070872	1.5376278225	1.5426176514
1331	19.434	19.444	19.589	19.543		1.6076702387	1.6147136666	1.6075677981	1.6146495303
1332	19.463	19.473	19.627	19.577		1.6706600287	1.6768986902	1.6708468237	1.6758766274
1333	19.487	19.498	19.659	19.607		1.72278951	1.7305064691	1.7241344242	1.7299005366
1334	19.508	19.525	19.686	19.64		1.7684028062	1.7884028704	1.7690958371	1.7893268367
1335	19.539	19.562	19.726	19.684		1.8357367196	1.8677423832	1.8357053376	1.8685619036
1336	19.594	19.618	19.798	19.75		1.9552001143	1.9878238081	1.9556024387	1.9874145038
1337	19.671	19.684	19.898	19.829		2.122448867	2.1293483446	2.1221261902	2.1296774647
1338	19.742	19.745	19.991	19.902		2.2766652493	2.2601513252	2.276993279	2.2611356437
1339	19.78	19.785	20.041	19.949		2.3592035947	2.3459237716	2.3602551548	2.3457731015
1340	19.787	19.798	20.05	19.965		2.3744080268	2.3737998166	2.3752422924	2.3745858531
1341	19.779	19.79	20.039	19.955		2.357031533	2.3566453274	2.3569246797	2.3565778833
1342	19.754	19.764	20.007	19.924		2.30272999	2.3008932372	2.3036370793	2.3007531772
1343	19.71	19.718	19.949	19.869		2.2071592742	2.202254924	2.2070533034	2.2017093436
1344	19.646	19.636	19.866	19.772		2.0681473239	2.026421409	2.0688385897	2.0270320372
1345	19.524	19.506	19.706	19.617		1.8031557938	1.7476609584	1.8024005874	1.7479085064
1346	19.326	19.323	19.448	19.399		1.3730875727	1.3552520164	1.3727693086	1.3553347662
1347	19.101	19.124	19.155	19.162		0.8843736851	0.9285340959	0.8848547168	0.9285458835
1348	18.917	18.943	18.915	18.947		0.4847143281	0.5404137762	0.4851977133	0.5413745343
1349	18.794	18.808	18.754	18.785		0.2175507363	0.2509317698	0.2170944735	0.2496454246
1350	18.703	18.737	18.636	18.701		0.0198931195	0.0986856776	0.0205964467	0.0983784788
1351	18.694	18.75	18.624	18.717		0.000344564	0.1265617226	0.0006135966	0.1271912304
1352	18.832	18.864	18.804	18.853		0.3000890817	0.3710131947	0.3003563492	0.3720996188
1353	19.042	19.025	19.078	19.044		0.7562220435	0.7162472912	0.7566314282	0.7160518407
1354	19.205	19.173	19.29	19.22		1.1102681043	1.0336053426	1.1096617813	1.032992108
1355	19.27	19.255	19.375	19.318		1.2514521162	1.2094388576	1.25120697	1.2094702113
1356	19.283	19.281	19.392	19.348		1.2796889186	1.2651909477	1.2795160078	1.2634941205
1357	19.272	19.262	19.378	19.327		1.2557962397	1.2244490357	1.2562026826	1.2256773841
1358	19.217	19.212	19.306	19.267		1.1363328449	1.1172334778	1.1363055815	1.1176295657
1359	19.134	19.143	19.197	19.184		0.9560517219	0.9692760079	0.9547946924	0.9681634169
1360	19.058	19.074	19.099	19.103		0.790975031	0.821318538	0.791601416	0.8222988621
1361	19.012	19.024	19.038	19.043		0.6910601918	0.71410298	0.6900219276	0.7142510437
1362	18.987	18.992	19.006	19.005		0.6367586487	0.645485023	0.6367343271	0.6458207587
1363	18.968	18.972	18.981	18.981		0.595489476	0.6025987998	0.5951033893	0.6026016313
1364	18.953	18.957	18.962	18.963		0.5629085502	0.5704341324	0.5634638765	0.5701872858
1365	18.942	18.945	18.948	18.949		0.5390158712	0.5447023985	0.5401505513	0.5449761282
1366	18.933	18.936	18.936	18.938		0.5194673157	0.5254035981	0.5201677011	0.5251673615
1367	18.927	18.93	18.928	18.931		0.5064349454	0.5125377312	0.506845801	0.5125617827
1368	18.924	18.925	18.924	18.925		0.4999187602	0.5018161754	0.5001848509	0.5017570008
1369	18.919	18.916	18.917	18.915		0.4890584516	0.4825173749	0.4885281883	0.4837490311
1370	18.904	18.901	18.898	18.896		0.4564775258	0.4503527076	0.4568886756	0.4495338886
1371	18.879	18.878	18.865	18.869		0.4021759827	0.4010335509	0.4019358376	0.4009123703
1372	18.85	18.851	18.827	18.837		0.3391861927	0.3431371496	0.338656812	0.3432868672
1373	18.823	18.824	18.793	18.805		0.2805405262	0.2852407484	0.2820387365	0.285661364
1374	18.8	18.798	18.762	18.774		0.2305831066	0.2294886582	0.2304163736	0.2298366579
1375	18.774	18.76	18.728	18.729		0.1741095018	0.1480048342	0.1737982981	0.1488007941
1376	18.719	18.699	18.656	18.656		0.0546461071	0.0172018536	0.053901197	0.017342615
1377	18.621	18.609	18.529	18.549		-0.1582159417	-0.1757861507	-0.1575839673	-0.1753426611
1378	18.506	18.505	18.379	18.425		-0.4080030398	-0.3987945112	-0.4073695945	-0.3986414858
1379	18.403	18.403	18.244	18.303		-0.6317253973	-0.6175142493	-0.632176659	-0.6183387165
1380	18.32	18.315	18.136	18.199		-0.8120065202	-0.8062136312	-0.8120223106	-0.8056216018
1381	18.248	18.247	18.041	18.117		-0.9683949643	-0.95202679	-0.9702198745	-0.9532869536
1382	18.197	18.203	17.976	18.066		-1.0791701121	-1.046376481	-1.0784603129	-1.0451275992
1383	18.193	18.191	17.97	18.051		-1.087858359	-1.0721082149	-1.088451738	-1.0721395538
1384	18.211	18.194	17.994	18.055		-1.048761248	-1.0656752814	-1.0484860376	-1.0649363659
1385	18.218	18.198	18.004	18.059		-1.0335568159	-1.0570980368	-1.0318336625	-1.057733178
1386	18.204	18.186	17.985	18.045		-1.0639656801	-1.0828297707	-1.0634731753	-1.0829443357
1387	18.177	18.161	17.949	18.016		-1.1226113466	-1.1364375496	-1.1234217258	-1.1351674479
1388	18.143	18.126	17.906	17.973		-1.1964614451	-1.2114884402	-1.1950269389	-1.2126017177
1389	18.099	18.082	17.848	17.921		-1.2920321609	-1.3058381311	-1.2916107148	-1.3062431603
1390	18.048	18.036	17.781	17.866		-1.4028073088	-1.4044764444	-1.4031816283	-1.4052869939
1391	18.003	17.994	17.722	17.817		-1.5005500863	-1.4945375131	-1.5014306416	-1.4935260456
1392	17.976	17.965	17.687	17.782		-1.5591957528	-1.5567225367	-1.5597139546	-1.5565539396
1393	17.961	17.947	17.668	17.76		-1.5917766787	-1.5953201375	-1.5913534674	-1.596171473
1394	17.951	17.936	17.655	17.747		-1.6134972959	-1.6189075603	-1.6130015551	-1.6195818337
1395	17.944	17.928	17.645	17.738		-1.6287017279	-1.6360620495	-1.6296539302	-1.6357890065
1396	17.939	17.924	17.639	17.733		-1.6395620366	-1.6446392942	-1.6396453553	-1.6447929913
1397	17.938	17.926	17.638	17.735		-1.6417340983	-1.6403506719	-1.6413105928	-1.6411913974
1398	17.949	17.937	17.652	17.748		-1.6178414193	-1.6167632491	-1.6179972676	-1.6177810367
1399	17.971	17.953	17.681	17.768		-1.5700560614	-1.5824542706	-1.5697053797	-1.5817650973
1400	17.99	17.964	17.705	17.781		-1.5287868887	-1.5588668478	-1.5297396794	-1.5583547366
1401	17.986	17.96	17.7	17.775		-1.5374751356	-1.5674440925	-1.5380658669	-1.5691595184
1402	17.958	17.94	17.663	17.752		-1.5982928638	-1.6103303156	-1.599679655	-1.6105778488
1403	17.927	17.919	17.623	17.727		-1.6656267772	-1.65536085	-1.6662891556	-1.6555977732
1404	17.919	17.913	17.613	17.72		-1.683003271	-1.6682267169	-1.6829415307	-1.668203352
1405	17.94	17.928	17.64	17.738		-1.6373899748	-1.6360620495	-1.6379801178	-1.6357890065
1406	17.972	17.956	17.682	17.771		-1.5678839997	-1.5760213371	-1.5680401422	-1.5763627063
1407	18.006	17.991	17.726	17.813		-1.4940339011	-1.5009704466	-1.4947696916	-1.5007292335
1408	18.042	18.027	17.774	17.856		-1.4158396791	-1.4237752449	-1.4148382909	-1.4232949636
1409	18.079	18.059	17.821	17.894		-1.3354733954	-1.3551572878	-1.3365721277	-1.3548646786
1410	18.103	18.082	17.853	17.922		-1.283343914	-1.3058381311	-1.2832845272	-1.3044423634
1411	18.111	18.093	17.863	17.935		-1.2659674203	-1.2822507084	-1.2666321521	-1.2810320027
1412	18.11	18.096	17.862	17.938		-1.268139482	-1.2758177749	-1.2682973896	-1.2756296118
1413	18.108	18.094	17.86	17.935		-1.2724836054	-1.2801063972	-1.2716278646	-1.2810320027
1414	18.104	18.09	17.854	17.93		-1.2811718523	-1.2886836419	-1.2816192897	-1.2900359876
1415	18.099	18.085	17.847	17.925		-1.2920321609	-1.2994051977	-1.2932759523	-1.2990399724
1416	18.094	18.081	17.841	17.92		-1.3028924695	-1.3079824423	-1.3032673774	-1.3080439573
1417	18.091	18.077	17.838	17.916		-1.3094086547	-1.3165596869	-1.3082630899	-1.3152471452
1418	18.089	18.076	17.835	17.914		-1.3137527782	-1.3187039981	-1.3132588025	-1.3188487392
1419	18.088	18.075	17.834	17.913		-1.3159248399	-1.3208483093	-1.31492404	-1.3206495361
1420	18.089	18.075	17.835	17.913		-1.3137527782	-1.3208483093	-1.3132588025	-1.3206495361
1421	18.09	18.073	17.836	17.911		-1.3115807164	-1.3251369316	-1.311593565	-1.3242511301
1422	18.085	18.065	17.83	17.901		-1.3224410251	-1.3422914208	-1.32158499	-1.3422590998
1423	18.066	18.048	17.805	17.881		-1.3637101978	-1.3787447105	-1.3632159279	-1.3782750393
1424	18.039	18.029	17.77	17.858		-1.4223558643	-1.4194866225	-1.4214992409	-1.4196933697
1425	18.023	18.019	17.749	17.846		-1.4571088519	-1.4409297341	-1.4564692287	-1.4413029333
1426	18.035	18.028	17.764	17.857		-1.4310441112	-1.4216309337	-1.431490666	-1.4214941666
1427	18.066	18.051	17.805	17.885		-1.3637101978	-1.3723117771	-1.3632159279	-1.3710718514
1428	18.097	18.079	17.845	17.918		-1.2963762844	-1.3122710646	-1.2966064273	-1.3116455513
1429	18.118	18.102	17.873	17.945		-1.2507629882	-1.262951908	-1.2499797769	-1.263024033
1430	18.132	18.12	17.891	17.967		-1.2203541241	-1.2243543071	-1.2200055017	-1.2234064996
1431	18.15	18.141	17.914	17.992		-1.1812570131	-1.1793237728	-1.1817050388	-1.1783865752
1432	18.178	18.17	17.951	18.026		-1.1204392849	-1.1171387492	-1.1200912508	-1.1171594781
1433	18.218	18.204	18.002	18.066		-1.0335568159	-1.0442321698	-1.0351641375	-1.0451275992
1434	18.252	18.233	18.047	18.1		-0.9597067174	-0.9820471462	-0.9602284494	-0.9839005021
1435	18.266	18.247	18.066	18.118		-0.9292978533	-0.95202679	-0.9285889366	-0.9514861566
1436	18.261	18.25	18.059	18.121		-0.9401581619	-0.9455938565	-0.9402455992	-0.9460837657
1437	18.255	18.251	18.052	18.123		-0.9531905322	-0.9434495454	-0.9519022618	-0.9424821717
1438	18.266	18.262	18.065	18.136		-0.9292978533	-0.9198621226	-0.9302541741	-0.9190718111
1439	18.293	18.282	18.101	18.159		-0.8706521868	-0.8769758995	-0.8703056236	-0.8776534807
1440	18.318	18.296	18.134	18.176		-0.8163506437	-0.8469555433	-0.8153527856	-0.8470399322
1441	18.313	18.289	18.127	18.168		-0.8272109523	-0.8619657214	-0.8270094482	-0.8614463079
1442	18.274	18.26	18.076	18.133		-0.9119213595	-0.924150745	-0.9119365615	-0.924474202
1443	18.228	18.225	18.016	18.092		-1.0118361987	-0.9992016355	-1.0118508123	-0.9983068779
1444	18.202	18.201	17.983	18.063		-1.0683098035	-1.0506651033	-1.0668036503	-1.0505299901
1445	18.203	18.196	17.983	18.057		-1.0661377418	-1.0613866591	-1.0668036503	-1.061334772
1446	18.215	18.206	17.999	18.068		-1.0400730011	-1.0399435475	-1.0401598501	-1.0415260053
1447	18.233	18.224	18.022	18.09		-1.0009758901	-1.0013459467	-1.0018593872	-1.0019084719
1448	18.257	18.247	18.054	18.118		-0.9488464088	-0.95202679	-0.9485717868	-0.9514861566
1449	18.284	18.272	18.089	18.148		-0.8902007423	-0.8984190111	-0.8902884738	-0.8974622474
1450	18.309	18.297	18.121	18.178		-0.8358991992	-0.8448112321	-0.8370008733	-0.8434383382
1451	18.33	18.319	18.149	18.204		-0.790285903	-0.7976363866	-0.7903742229	-0.7966176169
1452	18.349	18.337	18.174	18.225		-0.7490167303	-0.7590387858	-0.748743285	-0.7588008805
1453	18.363	18.35	18.192	18.24		-0.7186078662	-0.7311627407	-0.7187690098	-0.7317889259
1454	18.367	18.356	18.197	18.247		-0.7099196193	-0.7182968738	-0.7104428222	-0.719183347
1455	18.366	18.356	18.197	18.248		-0.712091681	-0.7182968738	-0.7104428222	-0.7173825501
1456	18.363	18.352	18.192	18.243		-0.7186078662	-0.7268741184	-0.7187690098	-0.7263865349
1457	18.354	18.344	18.181	18.233		-0.7381564217	-0.7440286077	-0.7370866224	-0.7443945047
1458	18.343	18.332	18.166	18.22		-0.7620491006	-0.7697603416	-0.7620651851	-0.7678048653
1459	18.329	18.317	18.148	18.201		-0.7924579647	-0.8019250089	-0.7920394604	-0.8020200078
1460	18.31	18.299	18.123	18.179		-0.8337271375	-0.8405226098	-0.8336703983	-0.8416375412
1461	18.288	18.281	18.094	18.158		-0.8815124954	-0.8791202106	-0.8819622862	-0.8794542777
1462	18.273	18.269	18.075	18.144		-0.9140934212	-0.9048519445	-0.913601799	-0.9046654353
1463	18.275	18.268	18.077	18.143		-0.9097492978	-0.9069962557	-0.9102713239	-0.9064662323
1464	18.285	18.277	18.09	18.153		-0.8880286805	-0.8876974553	-0.8886232362	-0.8884582625
1465	18.301	18.295	18.111	18.174		-0.853275693	-0.8490998544	-0.8536532484	-0.8506415261
1466	18.327	18.32	18.145	18.205		-0.7968020882	-0.7954920755	-0.7970351729	-0.7948168199
1467	18.36	18.348	18.188	18.238		-0.7251240513	-0.735451363	-0.7254299598	-0.7353905198
1468	18.387	18.372	18.223	18.266		-0.6664783848	-0.6839878952	-0.6671466468	-0.6849682046
1469	18.399	18.386	18.238	18.283		-0.6404136442	-0.653967539	-0.6421680841	-0.654354656
1470	18.4	18.388	18.241	18.286		-0.6382415824	-0.6496789167	-0.6371723715	-0.6489522651
1471	18.394	18.38	18.233	18.276		-0.6512739528	-0.666833406	-0.6504942717	-0.6669602348
1472	18.374	18.36	18.206	18.253		-0.6947151872	-0.7097196291	-0.6954556846	-0.7083785652
1473	18.343	18.335	18.166	18.222		-0.7620491006	-0.7633274081	-0.7620651851	-0.7642032714
1474	18.315	18.31	18.129	18.193		-0.8228668289	-0.816935187	-0.8236789732	-0.8164263836
1475	18.301	18.295	18.111	18.175		-0.853275693	-0.8490998544	-0.8536532484	-0.8488407291
1476	18.298	18.291	18.107	18.17		-0.8597918781	-0.857677099	-0.8603141985	-0.857844714
1477	18.302	18.295	18.112	18.175		-0.8511036312	-0.8490998544	-0.8519880109	-0.8488407291
1478	18.314	18.307	18.128	18.189		-0.8250388906	-0.8233681205	-0.8253442107	-0.8236295715
1479	18.333	18.319	18.153	18.203		-0.7837697178	-0.7976363866	-0.7837132728	-0.7984184139
1480	18.342	18.316	18.164	18.2		-0.7642211623	-0.8040693201	-0.7653956602	-0.8038208048
1481	18.31	18.284	18.123	18.162		-0.8337271375	-0.8726872772	-0.8336703983	-0.8722510898
1482	18.241	18.228	18.033	18.095		-0.9835993963	-0.992768702	-0.9835417746	-0.992904487
1483	18.168	18.168	17.938	18.024		-1.1421599021	-1.1214273715	-1.1417393385	-1.1207610721
1484	18.125	18.124	17.882	17.971		-1.2355585561	-1.2157770625	-1.2349926393	-1.2162033117
1485	18.112	18.104	17.865	17.948		-1.2637953585	-1.2586632857	-1.263301677	-1.2576216421
1486	18.113	18.103	17.866	17.946		-1.2616232968	-1.2608075968	-1.2616364395	-1.261223236
1487	18.123	18.114	17.879	17.959		-1.2399026796	-1.2372201741	-1.2399883518	-1.2378128754
1488	18.144	18.131	17.907	17.98		-1.1942893834	-1.2007668844	-1.1933617014	-1.1999961389
1489	18.166	18.145	17.935	17.997		-1.1465040255	-1.1707465282	-1.146735051	-1.1693825904
1490	18.169	18.148	17.939	17.999		-1.1399878404	-1.1643135947	-1.140074101	-1.1657809964
1491	18.151	18.133	17.916	17.982		-1.1790849514	-1.1964782621	-1.1783745638	-1.196394545
1492	18.122	18.105	17.878	17.949		-1.2420747413	-1.2565189745	-1.2416535893	-1.2558208451
1493	18.085	18.066	17.829	17.902		-1.3224410251	-1.3401471097	-1.3232502276	-1.3404583028
1494	18.036	18.021	17.766	17.849		-1.4288720495	-1.4366411118	-1.428160191	-1.4359005424
1495	17.988	17.983	17.702	17.804		-1.5331310121	-1.5181249358	-1.5347353919	-1.5169364062
1496	17.967	17.967	17.675	17.784		-1.5787443083	-1.5524339144	-1.5796968048	-1.5529523457
1497	17.987	17.979	17.701	17.798		-1.5353030739	-1.5267021805	-1.5364006294	-1.5277411881
1498	18.025	18.01	17.751	17.835		-1.4527647284	-1.4602285345	-1.4531387537	-1.4611117
1499	18.064	18.051	17.803	17.884		-1.3680543212	-1.3723117771	-1.3665464029	-1.3728726484
1500	18.108	18.094	17.859	17.935		-1.2724836054	-1.2801063972	-1.2732931021	-1.2810320027
1501	18.151	18.131	17.915	17.98		-1.1790849514	-1.2007668844	-1.1800398013	-1.1999961389
1502	18.179	18.157	17.953	18.01		-1.1182672231	-1.1450147943	-1.1167607757	-1.1459722297
1503	18.182	18.164	17.956	18.019		-1.111751038	-1.1300046162	-1.1117650632	-1.129765057
1504	18.173	18.159	17.944	18.012		-1.1312995935	-1.140726172	-1.1317479134	-1.1423706358
1505	18.16	18.144	17.927	17.995		-1.1595363959	-1.1728908393	-1.1600569511	-1.1729841843
1506	18.14	18.126	17.902	17.973		-1.2029776303	-1.2114884402	-1.201687889	-1.2126017177
1507	18.117	18.108	17.872	17.952		-1.2529350499	-1.250086041	-1.2516450144	-1.2504184542
1508	18.104	18.097	17.854	17.939		-1.2811718523	-1.2736734638	-1.2816192897	-1.2738288148
1509	18.108	18.099	17.86	17.941		-1.2724836054	-1.2693848415	-1.2716278646	-1.2702272209
1510	18.123	18.108	17.878	17.952		-1.2399026796	-1.250086041	-1.2416535893	-1.2504184542
1511	18.135	18.12	17.895	17.966		-1.2138379389	-1.2243543071	-1.2133445516	-1.2252072965
1512	18.143	18.129	17.905	17.977		-1.1964614451	-1.2050555067	-1.1966921764	-1.2053985298
1513	18.148	18.133	17.912	17.983		-1.1856011365	-1.1964782621	-1.1850355138	-1.194593748
1514	18.15	18.134	17.914	17.983		-1.1812570131	-1.1943339509	-1.1817050388	-1.194593748
1515	18.145	18.129	17.907	17.978		-1.1921173217	-1.2050555067	-1.1933617014	-1.2035977329
1516	18.135	18.121	17.894	17.968		-1.2138379389	-1.222209996	-1.2150097891	-1.2216057026
1517	18.125	18.112	17.881	17.957		-1.2355585561	-1.2415087964	-1.2366578768	-1.2414144693
1518	18.116	18.103	17.87	17.946		-1.2551071117	-1.2608075968	-1.2549754895	-1.261223236
1519	18.108	18.094	17.86	17.935		-1.2724836054	-1.2801063972	-1.2716278646	-1.2810320027
1520	18.099	18.082	17.847	17.922		-1.2920321609	-1.3058381311	-1.2932759523	-1.3044423634
1521	18.083	18.067	17.827	17.904		-1.3267851485	-1.3380027985	-1.3265807026	-1.3368567089
1522	18.064	18.053	17.802	17.887		-1.3680543212	-1.3680231547	-1.3682116405	-1.3674702574
1523	18.054	18.049	17.789	17.882		-1.3897749385	-1.3766003994	-1.3898597281	-1.3764742423
1524	18.07	18.064	17.809	17.9		-1.3550219509	-1.344435732	-1.3565549778	-1.3440598968
1525	18.106	18.091	17.857	17.932		-1.2768277289	-1.2865393307	-1.2766235771	-1.2864343936
1526	18.139	18.116	17.9	17.962		-1.205149692	-1.2329315518	-1.205018364	-1.2324104844
1527	18.148	18.126	17.912	17.973		-1.1856011365	-1.2114884402	-1.1850355138	-1.2126017177
1528	18.135	18.121	17.895	17.967		-1.2138379389	-1.222209996	-1.2133445516	-1.2234064996
1529	18.12	18.111	17.875	17.956		-1.2464188648	-1.2436531076	-1.2466493019	-1.2432152663
1530	18.116	18.107	17.87	17.951		-1.2551071117	-1.2522303522	-1.2549754895	-1.2522192511
1531	18.124	18.11	17.88	17.955		-1.2377306179	-1.2457974187	-1.2383231143	-1.2450160632
1532	18.132	18.114	17.891	17.96		-1.2203541241	-1.2372201741	-1.2200055017	-1.2360120784
1533	18.13	18.112	17.888	17.957		-1.2246982475	-1.2415087964	-1.2250012142	-1.2414144693
1534	18.117	18.103	17.871	17.947		-1.2529350499	-1.2608075968	-1.2533102519	-1.259422439
1535	18.104	18.096	17.855	17.938		-1.2811718523	-1.2758177749	-1.2799540522	-1.2756296118
1536	18.105	18.097	17.856	17.939		-1.2789997906	-1.2736734638	-1.2782888147	-1.2738288148
1537	18.121	18.108	17.876	17.952		-1.244246803	-1.250086041	-1.2449840644	-1.2504184542
1538	18.139	18.12	17.899	17.967		-1.205149692	-1.2243543071	-1.2066836015	-1.2234064996
1539	18.144	18.125	17.907	17.972		-1.1942893834	-1.2136327513	-1.1933617014	-1.2144025147
1540	18.135	18.119	17.894	17.966		-1.2138379389	-1.2264986183	-1.2150097891	-1.2252072965
1541	18.121	18.111	17.876	17.956		-1.244246803	-1.2436531076	-1.2449840644	-1.2432152663
1542	18.116	18.107	17.87	17.951		-1.2551071117	-1.2522303522	-1.2549754895	-1.2522192511
1543	18.122	18.11	17.878	17.955		-1.2420747413	-1.2457974187	-1.2416535893	-1.2450160632
1544	18.133	18.117	17.892	17.962		-1.2181820624	-1.2307872406	-1.2183402641	-1.2324104844
1545	18.137	18.12	17.897	17.966		-1.2094938155	-1.2243543071	-1.2100140766	-1.2252072965
1546	18.132	18.117	17.891	17.963		-1.2203541241	-1.2307872406	-1.2200055017	-1.2306096875
1547	18.124	18.112	17.88	17.957		-1.2377306179	-1.2415087964	-1.2383231143	-1.2414144693
1548	18.12	18.109	17.875	17.953		-1.2464188648	-1.2479417299	-1.2466493019	-1.2486176572
1549	18.122	18.111	17.878	17.955		-1.2420747413	-1.2436531076	-1.2416535893	-1.2450160632
1550	18.129	18.123	17.887	17.97		-1.2268703093	-1.2179213737	-1.2266664517	-1.2180041086
1551	18.152	18.151	17.917	18.003		-1.1769128896	-1.1578806612	-1.1767093263	-1.1585778085
1552	18.204	18.198	17.985	18.06		-1.0639656801	-1.0570980368	-1.0634731753	-1.0559323811
1553	18.27	18.255	18.071	18.127		-0.9206096064	-0.9348723007	-0.920262749	-0.9352789838
1554	18.326	18.309	18.144	18.191		-0.7989741499	-0.8190794982	-0.7987004105	-0.8200279776
1555	18.363	18.35	18.193	18.241		-0.7186078662	-0.7311627407	-0.7171037722	-0.7299881289
1556	18.392	18.371	18.23	18.265		-0.6556180762	-0.6861322064	-0.6554899842	-0.6867690015
1557	18.393	18.362	18.231	18.254		-0.6534460145	-0.7054310068	-0.6538247467	-0.7065777682
1558	18.337	18.314	18.159	18.198		-0.775081471	-0.8083579424	-0.7737218477	-0.8074223987
1559	18.252	18.253	18.047	18.125		-0.9597067174	-0.9391609231	-0.9602284494	-0.9388805778
1560	18.193	18.206	17.971	18.068		-1.087858359	-1.0399435475	-1.0867865005	-1.0415260053
1561	18.196	18.2	17.975	18.062		-1.0813421738	-1.0528094145	-1.0801255504	-1.0523307871
1562	18.236	18.226	18.026	18.092		-0.9944597049	-0.9970573243	-0.9951984372	-0.9983068779
1563	18.278	18.266	18.081	18.14		-0.9032331126	-0.911284878	-0.9036103739	-0.9118686232
1564	18.317	18.306	18.132	18.188		-0.8185227054	-0.8255124317	-0.8186832606	-0.8254303685
1565	18.354	18.336	18.18	18.223		-0.7381564217	-0.7611830969	-0.7387518599	-0.7624024744
1566	18.371	18.344	18.203	18.233		-0.7012313724	-0.7440286077	-0.7004513971	-0.7443945047
1567	18.342	18.318	18.165	18.202		-0.7642211623	-0.7997806978	-0.7637304227	-0.8002192108
1568	18.279	18.27	18.083	18.145		-0.9010610509	-0.9027076334	-0.9002798988	-0.9028646383
1569	18.22	18.219	18.006	18.084		-1.0292126925	-1.0120675024	-1.0285031875	-1.0127132537
1570	18.186	18.183	17.962	18.041		-1.1030627911	-1.0892627042	-1.1017736381	-1.0901475235
